Cultura,Area colhida (ha),CO,N,NE,S,SE
Abacate,0.018106,0.98,0.67,10.92,9.41,78.02
Abacaxi*,0.063876,12.94,31.84,30.58,1.64,23.0
Algodão herbáceo (em c...,1.369562,74.55,1.89,21.21,0.01,2.33
Alho,0.014545,26.13,0.0,3.72,35.5,34.66
Amendoim (em casca),0.205547,1.55,0.22,3.93,2.43,91.88
Arroz (em casca),2.6388,10.73,7.52,2.85,78.38,0.52
Aveia (em grão),0.84414,2.21,0.0,0.0,96.17,1.62
Azeitona,0.002121,0.0,0.0,0.14,69.02,30.83
Açaí,0.208111,0.1,99.02,0.85,0.0,0.03
Banana (cacho),0.453273,5.38,15.65,38.99,10.8,29.19
Batata-doce,0.067749,0.74,1.21,37.64,40.15,20.26
Batata-inglesa,0.134106,3.29,0.0,6.36,49.41,40.94
Borracha (látex coagul...,0.176373,19.95,1.21,14.02,0.56,64.25
Cacau (em amêndoa),0.600789,0.1,26.56,70.45,0.0,2.89
Café (em grão) Arábica,1.44475,0.52,0.0,5.25,2.26,91.96
Café (em grão) Canephora,0.391991,2.96,16.99,10.4,0.0,69.64
Café (em grão) Total,1.836741,1.04,3.63,6.35,1.78,87.2
Cana-de-açúcar,9.98518,18.89,0.7,8.76,6.01,65.65
Caqui,0.007909,0.0,0.0,0.32,41.88,57.81
Castanha de caju,0.427144,0.04,2.8,97.17,0.0,0.0
Cebola,0.055552,4.97,0.67,17.29,61.42,15.66
Centeio (em grão),0.007525,0.0,0.0,0.0,100.0,0.0
Cevada (em grão),0.151554,0.05,0.0,0.0,97.74,2.21
Chá-da-índia (folha ve...,0.000207,0.0,0.0,0.0,0.0,100.0
Coco-da-baía*,0.186392,0.64,10.69,80.8,0.12,7.75
Dendê (cacho de coco),0.197165,0.0,93.38,6.62,0.0,0.0
Erva-mate (folha verde),0.068616,0.19,0.0,0.0,99.81,0.0
Ervilha (em grão),0.000948,4.22,0.0,0.0,25.95,69.83
Fava (em grão),0.030325,0.03,3.13,96.78,0.06,0.0
Feijão (em grão),2.673581,16.9,3.69,42.37,22.08,14.96
Figo,0.002027,0.0,0.0,0.0,68.43,31.57
Fumo (em folha),0.509101,0.01,0.03,4.58,95.29,0.09
Girassol (em grão),0.044574,80.33,0.0,0.0,12.13,7.54
Goiaba,0.022137,2.38,2.59,47.36,7.76,39.91
Guaraná (semente),0.010097,3.26,41.28,55.46,0.0,0.0
Juta (fibra),2e-05,0.0,100.0,0.0,0.0,0.0
Laranja,0.578057,1.49,3.15,16.21,7.42,71.72
Limão,0.058446,1.92,9.27,16.85,4.39,67.56
Linho (semente),0.009986,0.0,0.0,0.0,100.0,0.0
Malva (fibra),0.002066,0.0,100.0,0.0,0.0,0.0
Mamona (baga),0.045238,0.57,0.0,99.37,0.0,0.06
Mamão,0.028495,1.18,9.24,57.8,0.67,31.11
Mandioca,1.253379,7.22,36.77,25.87,20.27,9.87
Manga,0.076061,0.72,0.15,75.34,0.68,23.12
Maracujá,0.044827,2.01,7.67,71.81,8.04,10.48
Marmelo,6.7e-05,11.94,0.0,4.48,23.88,59.7
Maçã,0.032879,0.0,0.0,0.0,98.85,1.15
Melancia,0.10234,15.17,12.36,36.7,25.34,10.43
Melão,0.025178,0.77,0.28,87.18,11.75,0.02
Milho (em grão),19.80062,50.7,6.17,10.34,23.43,9.35
Noz (fruto seco),0.004002,0.0,0.0,0.0,98.85,1.15
Palmito,0.026828,5.65,1.16,12.76,33.27,47.16
Pera,0.001045,0.0,0.0,0.0,87.46,12.54
Pimenta-do-reino,0.037994,0.02,43.27,8.78,0.0,47.93
Pêssego,0.015496,0.0,0.0,0.0,86.59,13.41
Sisal ou agave (fibra),0.10028,0.0,0.0,100.0,0.0,0.0
Soja (em grão),45.275626,41.81,4.97,5.6,40.69,6.92
Sorgo (em grão),0.890389,54.74,3.43,9.42,0.72,31.68
Tangerina,0.055407,2.6,0.84,7.6,41.85,47.11
Tomate,0.053948,20.85,1.36,18.2,18.87,40.71
Trigo (em grão),3.982242,1.0,0.0,0.08,93.19,5.74
Triticale (em grão),0.042151,0.0,0.0,0.0,90.6,9.4
Tungue (fruto seco),6.4e-05,0.0,0.0,0.0,100.0,0.0
Urucum (semente),0.012538,8.69,13.97,19.25,7.66,50.43
Uva,0.075622,0.28,0.02,15.18,71.12,13.4
